SPN,STN,YEAR,CAPTURE_DATE,SPECIES,SEX,SHELL_CONDITION,LENGTH,WEIGHT,FEMALE_MATURITY,CLUTCH_FULLNESS,EGG_DEVELOPMENT,CLUTCH_COND,EGG_COLOR
113,103,2022,9/11/2022,69323,2,3,90.7,574,2,0,,5,
124,65,2022,9/12/2022,69323,2,3,103.3,910,2,0,,5,
121,65,2022,9/12/2022,69323,2,3,84.2,462,2,0,,5,
126,64,2022,9/12/2022,69323,2,2,89.5,499,1,0,,4,
159,81,2022,9/13/2022,69323,2,3,90.2,600,2,0,C:\Users\jon.richar\Work\GitRepos\EBSCrabLengthWeight\DATA,5,
160,81,2022,9/13/2022,69323,2,3,98.4,819,2,0,,5,
160,81,2022,9/13/2022,69323,2,4,88.9,538,2,0,,5,
161,69,2022,9/13/2022,69323,2,4,96.7,765,2,0,,5,
162,69,2022,9/13/2022,69323,2,3,106,940,2,0,,5,
162,69,2022,9/13/2022,69323,2,3,84.1,487,2,0,,5,
162,69,2022,9/13/2022,69323,2,3,99.4,796,2,0,,5,
162,69,2022,9/13/2022,69323,2,3,101.3,874,2,0,,5,
164,69,2022,9/13/2022,69323,2,3,93.8,742,2,0,,5,
166,68,2022,9/13/2022,69323,2,3,87.5,544,2,0,,5,
166,68,2022,9/13/2022,69323,2,3,91.1,652,2,0,,5,
166,68,2022,9/13/2022,69323,2,3,96.3,727,2,0,,5,
167,68,2022,9/13/2022,69323,2,3,92.4,660,2,0,,5,
167,68,2022,9/13/2022,69323,2,3,95.9,728,2,0,,5,
167,68,2022,9/13/2022,69323,2,3,95.2,777,2,0,,5,
170,80,2022,9/13/2022,69323,2,3,88.2,540,2,0,,5,
172,80,2022,9/13/2022,69323,2,3,89.5,594,2,0,,5,
172,80,2022,9/13/2022,69323,2,2,80.7,432,1,0,,4,
179,67,2022,9/13/2022,69323,2,3,94.2,690,2,0,,5,
179,67,2022,9/13/2022,69323,2,2,80.1,440,1,0,,4,
180,67,2022,9/13/2022,69323,2,3,110.7,1040,2,0,,5,
180,67,2022,9/13/2022,69323,2,3,79.8,423,2,0,,5,
181,66,2022,9/13/2022,69323,2,3,87.3,527,2,0,,5,
181,66,2022,9/13/2022,69323,2,2,97.3,790,1,0,,4,
181,66,2022,9/13/2022,69323,2,2,65.9,210,1,0,,4,
182,66,2022,9/13/2022,69323,2,2,85.8,488,1,0,,4,
182,66,2022,9/13/2022,69323,2,2,76.6,376,1,0,,4,
186,71,2022,9/14/2022,69323,2,3,90.9,644,1,0,,4,
186,71,2022,9/14/2022,69323,2,3,88.2,585,1,0,,4,
185,71,2022,9/14/2022,69323,2,3,103.1,987,2,0,,5,
192,72,2022,9/14/2022,69323,2,2,82.1,436,1,0,,4,
192,72,2022,9/14/2022,69323,2,2,84.1,485,1,0,,4,
192,72,2022,9/14/2022,69323,2,3,87.8,556,2,0,,5,
191,72,2022,9/14/2022,69323,2,2,78.4,395,1,0,,4,
191,72,2022,9/14/2022,69323,2,2,84.3,542,1,0,,4,
191,72,2022,9/14/2022,69323,2,2,80.2,420,1,0,,4,
190,72,2022,9/14/2022,69323,2,2,81.4,440,1,0,,4,
190,72,2022,9/14/2022,69323,2,2,82.7,483,1,0,,4,
189,72,2022,9/14/2022,69323,2,3,90.4,668,2,0,,5,
189,72,2022,9/14/2022,69323,2,2,74.8,383,1,0,,4,
189,72,2022,9/14/2022,69323,2,2,82.4,472,1,0,,4,
189,72,2022,9/14/2022,69323,2,2,84,485,1,0,,4,
189,72,2022,9/14/2022,69323,2,3,95.6,772,2,0,,5,
195,73,2022,9/14/2022,69323,2,2,89.2,596,1,0,,4,
195,73,2022,9/14/2022,69323,2,3,103.6,888,2,0,,5,
195,73,2022,9/14/2022,69323,2,2,81.5,482,1,0,,4,
195,73,2022,9/14/2022,69323,2,3,91.2,630,2,0,,5,
195,73,2022,9/14/2022,69323,2,3,89.1,560,2,0,,5,
194,73,2022,9/14/2022,69323,2,2,90.6,617,1,0,,4,
199,85,2022,9/14/2022,69323,2,3,102.3,936,2,0,,5,
202,84,2022,9/14/2022,69323,2,2,78.6,390,1,0,,4,
213,94,2022,9/15/2022,69323,2,3,91.4,660,2,0,,5,
225,55,2022,9/15/2022,69323,2,2,78.3,390,1,0,,4,
225,55,2022,9/15/2022,69323,2,2,77,390,1,0,,4,
225,55,2022,9/15/2022,69323,2,2,83,454,1,0,,4,
229,54,2022,9/15/2022,69323,2,2,79.5,406,1,0,,4,
229,54,2022,9/15/2022,69323,2,2,79.7,430,1,0,,4,
229,54,2022,9/15/2022,69323,2,2,84.9,536,1,0,,4,
229,54,2022,9/15/2022,69323,2,2,85.1,532,1,0,,4,
230,54,2022,9/15/2022,69323,2,2,78,384,1,0,,4,
230,54,2022,9/15/2022,69323,2,2,83.2,470,1,0,,4,
233,50,2022,9/19/2022,69323,2,2,77.1,409,1,0,,4,
235,50,2022,9/19/2022,69323,2,2,71.8,290,1,0,,4,
235,50,2022,9/19/2022,69323,2,2,68.2,241,1,0,,4,
242,70,2022,9/19/2022,69323,2,2,84.2,520,1,0,,4,
242,70,2022,9/19/2022,69323,2,2,82.2,488,1,0,,4,
252,34,2022,9/19/2022,69323,2,3,114.7,1245,2,5,2,1,9
249,34,2022,9/19/2022,69323,2,3,96.9,753,2,4,2,1,10
257,53,2022,9/19/2022,69323,2,2,63.4,191,1,0,,4,
257,53,2022,9/19/2022,69323,2,2,80.5,432,1,0,,4,
258,53,2022,9/19/2022,69323,2,2,73.6,345,1,0,,4,
258,53,2022,9/19/2022,69323,2,2,71.2,311,1,0,,4,
259,53,2022,9/19/2022,69323,2,2,68.5,271,1,0,,4,
260,53,2022,9/19/2022,69323,2,2,81.8,410,1,0,,4,
260,53,2022,9/19/2022,69323,2,2,75.6,343,1,0,,4,
261,48,2022,9/20/2022,69323,2,2,87.4,542,1,0,,4,
261,48,2022,9/20/2022,69323,2,2,88.1,566,1,0,,4,
268,49,2022,9/20/2022,69323,2,2,83.3,459,1,0,,4,
267,49,2022,9/20/2022,69323,2,2,79.5,384,1,0,,4,
267,49,2022,9/20/2022,69323,2,2,78.2,373,1,0,,4,
267,49,2022,9/20/2022,69323,2,2,80,400,1,0,,4,
265,49,2022,9/20/2022,69323,2,2,76.6,355,1,0,,4,
265,49,2022,9/20/2022,69323,2,2,66.5,244,1,0,,4,
265,49,2022,9/20/2022,69323,2,2,72.5,323,1,0,,4,
272,32,2022,9/20/2022,69323,2,2,67.9,237,1,0,,4,
270,32,2022,9/20/2022,69323,2,3,96.7,712,2,0,,5,
275,20,2022,9/20/2022,69323,2,2,89.3,609,2,4,1,1,10
292,33,2022,9/20/2022,69323,2,2,82.7,482,2,4,1,1,10
325,16,2022,9/23/2022,69323,2,3,97.2,766,2,0,,5,
334,8,2022,9/23/2022,69323,2,2,86.7,522,1,0,,4,
333,8,2022,9/23/2022,69323,2,2,72.8,282,1,0,,4,
337,17,2022,9/23/2022,69323,2,3,85.8,532,2,0,,5,
340,17,2022,9/23/2022,69323,2,2,87.3,528,1,0,,4,
340,17,2022,9/23/2022,69323,2,2,83.7,474,1,0,,4,
340,17,2022,9/23/2022,69323,2,2,81.6,373,1,0,,4,
342,18,2022,9/23/2022,69323,2,3,87.1,507,2,0,,5,
342,18,2022,9/23/2022,69323,2,3,83.3,486,1,0,,4,
342,18,2022,9/23/2022,69323,2,3,88.6,534,1,0,,4,
342,18,2022,9/23/2022,69323,2,2,83.8,467,1,0,,4,
343,18,2022,9/23/2022,69323,2,2,72.1,293,1,0,,4,
343,18,2022,9/23/2022,69323,2,2,90.5,582,1,0,,4,
343,18,2022,9/23/2022,69323,2,2,94.5,636,1,0,,4,
346,9,2022,9/23/2022,69323,2,2,75.4,342,1,0,,4,
346,9,2022,9/23/2022,69323,2,2,91.3,659,1,0,,4,
346,9,2022,9/23/2022,69323,2,2,85,506,1,0,,4,
360,5,2022,9/24/2022,69323,2,2,90.4,578,2,4,1,1,10
361,4,2022,9/24/2022,69323,2,2,86.3,469,1,0,,4,
361,4,2022,9/24/2022,69323,2,2,84.6,522,1,0,,4,
362,4,2022,9/24/2022,69323,2,2,78.8,420,1,0,,4,
363,4,2022,9/24/2022,69323,2,2,85.8,496,1,0,,4,
365,3,2022,9/24/2022,69323,2,2,86.8,520,1,0,,4,
365,3,2022,9/24/2022,69323,2,2,91.4,594,1,0,,4,
366,3,2022,9/24/2022,69323,2,2,86.6,444,1,0,,4,
366,3,2022,9/24/2022,69323,2,2,78.7,396,1,0,,4,
381,15,2022,9/24/2022,69323,2,2,86.3,500,1,0,,4,
