SURVEY_YEAR,CRUISE,MALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,AT_OS,AOS,B,BT,BT_OS,BOS,A_NS,A_OS,LOG10_A_NS,LOG10_A_OS,B_NS,B_OS
1975,197502,1.618012175,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.527100746,-3.73620327,0.000297098,0.000183568,2.994575866,3.117190495
1976,197601,-0.567619545,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.566714484,-3.71624329,0.000271197,0.000192201,3.010005036,3.102057655
1976,197602,1.766553653,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.524408489,-3.737559804,0.000298945,0.000182995,2.993527258,3.118218964
1977,197703,2.107877883,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.518222118,-3.740676901,0.000303234,0.000181687,2.991117726,3.120582219
1978,197801,3.135367349,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.499599265,-3.750060307,0.00031652,0.000177803,2.983864304,3.127696333
1978,197802,3.511699729,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.492778384,-3.75349711,0.00032153,0.000176402,2.981207636,3.130301977
1979,197901,3.72346344,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.488940248,-3.755431013,0.000324384,0.000175618,2.979712719,3.131768183
1979,197902,3.967729253,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.484513024,-3.757661737,0.000327708,0.000174718,2.977988358,3.133459426
1980,198001,3.513923671,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.492738076,-3.75351742,0.00032156,0.000176394,2.981191937,3.130317375
1980,198002,3.158854678,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.499173566,-3.750274801,0.00031683,0.000177715,2.983698498,3.127858954
1981,198101,4.224264609,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.479863419,-3.760004511,0.000331235,0.000173778,2.976177381,3.135235621
1981,198103,3.820125358,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.487188288,-3.756313765,0.000325695,0.000175261,2.979030348,3.132437449
1982,198201,3.157352175,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.499200798,-3.75026108,0.00031681,0.000177721,2.983709105,3.127848551
1982,198203,3.063675502,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.500898652,-3.749405591,0.000315574,0.000178071,2.984370402,3.127199954
1983,198301,3.621616588,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.490786183,-3.754500911,0.000323008,0.000175994,2.980431693,3.131063017
1983,198303,3.687369184,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.489594443,-3.755101387,0.000323896,0.000175751,2.979967522,3.131518274
1984,198401,3.385548046,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.495064835,-3.752345047,0.000319842,0.00017687,2.982098187,3.12942853
1984,198402,2.376946667,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.513345349,-3.743134134,0.000306658,0.000180662,2.989218271,3.122445193
1985,198501,2.759758224,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.506407036,-3.746630108,0.000311597,0.000179213,2.986515865,3.125095697
1986,198601,1.516192997,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.52894618,-3.73527342,0.000295838,0.000183961,2.995294645,3.116485521
1986,198602,2.289529964,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.514929743,-3.742335813,0.000305542,0.000180994,2.989835378,3.121839939
1987,198701,3.462862339,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.493663543,-3.753051109,0.000320875,0.000176583,2.981552397,3.129963837
1988,198801,2.566873794,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.509902993,-3.744868618,0.000309099,0.000179942,2.987877507,3.123760207
1989,198901,2.67704631,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.507906158,-3.745874753,0.000310523,0.000179525,2.987099759,3.124523018
1990,199001,2.379139244,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.513305609,-3.743154158,0.000306686,0.000180653,2.989202793,3.122460374
1991,199101,2.881740173,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.50419616,-3.747744091,0.000313187,0.000178754,2.98565475,3.125940274
1992,199201,1.983222426,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.52048145,-3.739538502,0.000301661,0.000182164,2.991997714,3.119719132
1993,199301,2.777239393,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.506090197,-3.746789752,0.000311824,0.000179147,2.986392459,3.125216733
1994,199401,1.893445057,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.522108631,-3.738718623,0.000300532,0.000182508,2.992631485,3.119097533
1995,199501,1.883952967,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.522280671,-3.738631937,0.000300413,0.000182544,2.992698493,3.119031812
1996,199601,2.976115365,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.502485646,-3.74860596,0.000314423,0.0001784,2.984988521,3.126593707
1997,199701,2.628676855,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.508782836,-3.745433026,0.000309897,0.000179708,2.987441216,3.124188118
1998,199801,3.131167434,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.499675386,-3.750021951,0.000316464,0.000177819,2.983893952,3.127667254
1999,199901,2.099980058,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.518365263,-3.740604775,0.000303134,0.000181717,2.991173479,3.120527536
2000,200001,2.610153256,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.509118569,-3.745263861,0.000309657,0.000179778,2.987571981,3.124059865
2001,200101,3.558796621,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.491924771,-3.753927216,0.000322163,0.000176227,2.980875162,3.130628066
2002,200201,3.430965973,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.494241653,-3.75275982,0.000320449,0.000176701,2.981777565,3.129742994
2003,200301,4.085905106,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.482371132,-3.758740962,0.000329328,0.000174285,2.977154112,3.13427765
2004,200401,3.483024367,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.493298114,-3.753235236,0.000321146,0.000176508,2.981410066,3.130103435
2005,200501,3.508432696,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.492837598,-3.753467274,0.000321486,0.000176414,2.9812307,3.130279357
2006,200601,2.226868414,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.51606546,-3.741763565,0.000304744,0.000181233,2.990277728,3.121406084
2007,200701,1.497901051,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.529277714,-3.735106372,0.000295612,0.000184032,2.995423774,3.116358872
2008,200801,1.94569425,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.521161634,-3.739195781,0.000301188,0.000182307,2.992262639,3.119459295
2009,200901,1.909615454,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.521815548,-3.738866297,0.000300735,0.000182446,2.992517332,3.119209493
2010,201001,1.522367328,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.528834272,-3.735329807,0.000295914,0.000183937,2.995251058,3.116528271
2011,201101,2.501100482,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.511095109,-3.744267952,0.000308251,0.000180191,2.988341824,3.123304807
2012,201201,0.25784316,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.551753288,-3.723781714,0.000280703,0.000188894,3.004177794,3.10777298
2013,201301,1.26496608,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.533499571,-3.732979125,0.000292752,0.000184936,2.997068147,3.114746081
2014,201401,3.300486064,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.496606551,-3.751568231,0.000318708,0.000177187,2.98269867,3.128839579
2015,201501,4.089144131,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.482312426,-3.758770541,0.000329373,0.000174273,2.977131246,3.134300077
2016,201601,4.780718393,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.469777907,-3.765086248,0.000339017,0.000171757,2.972249172,3.139088387
2017,201701,3.148296289,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.499364933,-3.750178378,0.000316691,0.000177755,2.983773034,3.12778585
2018,201801,4.180030647,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.480665142,-3.75960055,0.000330624,0.00017394,2.976489645,3.134929355
2019,201901,4.32108162,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.478108648,-3.760888679,0.000332576,0.000173425,2.975493915,3.135905961
2021,202101,3.818191582,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.487223337,-3.756296105,0.000325669,0.000175269,2.979043999,3.13242406
2022,202201,2.744858296,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.506677092,-3.746494037,0.000311403,0.000179269,2.986621049,3.124992533
2023,202301,3.155493467,-3.556426597,0.018124617,-0.027256979,-0.1650004,3.005998003,-0.007059364,0.013983147,0.099989727,-3.499234486,-3.750244106,0.000316786,0.000177728,2.983722226,3.127835682
