SURVEY_YEAR,CRUISE,FEMALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,A,log10_A,B
1975,197502,1.948386969,-2.319505015,0.002295675,-2.315032152,0.004841365,2.594412679
1976,197602,1.277758218,-2.319505015,0.002295675,-2.316571697,0.004824233,2.594412679
1976,197601,0.311437008,-2.319505015,0.002295675,-2.318790057,0.004799654,2.594412679
1977,197703,1.22938982,-2.319505015,0.002295675,-2.316682736,0.004823,2.594412679
1978,197801,4.857642783,-2.319505015,0.002295675,-2.308353446,0.004916393,2.594412679
1978,197802,3.494589897,-2.319505015,0.002295675,-2.311482572,0.004881097,2.594412679
1979,197901,6.11087821,-2.319505015,0.002295675,-2.305476425,0.00494907,2.594412679
1979,197902,5.036970258,-2.319505015,0.002295675,-2.307941768,0.004921055,2.594412679
1980,198002,2.839101872,-2.319505015,0.002295675,-2.31298736,0.004864214,2.594412679
1980,198001,2.861074518,-2.319505015,0.002295675,-2.312936918,0.004864779,2.594412679
1981,198103,4.3,-2.319505015,0.002295675,-2.309633613,0.004901922,2.594412679
1981,198101,4.588165394,-2.319505015,0.002295675,-2.308972078,0.004909394,2.594412679
1982,198201,0.490349724,-2.319505015,0.002295675,-2.318379331,0.004804195,2.594412679
1982,198203,1.076961889,-2.319505015,0.002295675,-2.317032661,0.004819116,2.594412679
1983,198303,3.714600783,-2.319505015,0.002295675,-2.310977499,0.004886777,2.594412679
1983,198301,3.457902517,-2.319505015,0.002295675,-2.311566795,0.00488015,2.594412679
1984,198401,3.640208448,-2.319505015,0.002295675,-2.311148279,0.004884855,2.594412679
1984,198402,2.969718295,-2.319505015,0.002295675,-2.312687507,0.004867573,2.594412679
1985,198501,3.021690914,-2.319505015,0.002295675,-2.312568195,0.004868911,2.594412679
1986,198601,2.564235811,-2.319505015,0.002295675,-2.313618363,0.004857151,2.594412679
1986,198602,0.830394346,-2.319505015,0.002295675,-2.317598699,0.004812839,2.594412679
1987,198701,3.474178357,-2.319505015,0.002295675,-2.311529431,0.00488057,2.594412679
1988,198801,2.867859922,-2.319505015,0.002295675,-2.312921341,0.004864953,2.594412679
1989,198901,2.875235881,-2.319505015,0.002295675,-2.312904408,0.004865143,2.594412679
1990,199001,2.329484985,-2.319505015,0.002295675,-2.314157275,0.004851128,2.594412679
1991,199101,2.998713576,-2.319505015,0.002295675,-2.312620943,0.004868319,2.594412679
1992,199201,2.206172708,-2.319505015,0.002295675,-2.314440359,0.004847967,2.594412679
1993,199301,3.959098709,-2.319505015,0.002295675,-2.310416211,0.004893097,2.594412679
1994,199401,1.881387911,-2.319505015,0.002295675,-2.31518596,0.004839651,2.594412679
1995,199501,2.335209133,-2.319505015,0.002295675,-2.314144134,0.004851275,2.594412679
1996,199601,4.166590595,-2.319505015,0.002295675,-2.309939877,0.004898466,2.594412679
1997,199701,2.683705117,-2.319505015,0.002295675,-2.3133441,0.00486022,2.594412679
1998,199801,3.837223957,-2.319505015,0.002295675,-2.310695996,0.004889945,2.594412679
1999,199902,0.94874974,-2.319505015,0.002295675,-2.317326994,0.004815851,2.594412679
1999,199901,0.94874974,-2.319505015,0.002295675,-2.317326994,0.004815851,2.594412679
2000,200002,1.620436271,-2.319505015,0.002295675,-2.31578502,0.00483298,2.594412679
2000,200001,1.620436271,-2.319505015,0.002295675,-2.31578502,0.00483298,2.594412679
2001,200101,3.595433534,-2.319505015,0.002295675,-2.311251068,0.004883699,2.594412679
2002,200201,3.34060974,-2.319505015,0.002295675,-2.311836061,0.004877126,2.594412679
2003,200301,4.106220397,-2.319505015,0.002295675,-2.310078467,0.004896903,2.594412679
2004,200401,4.051538324,-2.319505015,0.002295675,-2.310204,0.004895488,2.594412679
2005,200501,4.684112632,-2.319505015,0.002295675,-2.308751815,0.004911885,2.594412679
2006,200601,2.234721154,-2.319505015,0.002295675,-2.314374822,0.004848698,2.594412679
2006,200602,2.234721154,-2.319505015,0.002295675,-2.314374822,0.004848698,2.594412679
2007,200701,1.868376985,-2.319505015,0.002295675,-2.315215829,0.004839318,2.594412679
2007,200702,1.868376985,-2.319505015,0.002295675,-2.315215829,0.004839318,2.594412679
2008,200801,1.571311219,-2.319505015,0.002295675,-2.315897795,0.004831725,2.594412679
2008,200802,1.571311219,-2.319505015,0.002295675,-2.315897795,0.004831725,2.594412679
2009,200901,2.208438788,-2.319505015,0.002295675,-2.314435157,0.004848025,2.594412679
2009,200902,2.208438788,-2.319505015,0.002295675,-2.314435157,0.004848025,2.594412679
2010,201001,1.825304792,-2.319505015,0.002295675,-2.315314708,0.004838216,2.594412679
2010,201002,1.825304792,-2.319505015,0.002295675,-2.315314708,0.004838216,2.594412679
2011,201101,3.681833347,-2.319505015,0.002295675,-2.311052722,0.00488593,2.594412679
2011,201102,3.681833347,-2.319505015,0.002295675,-2.311052722,0.00488593,2.594412679
2012,201201,0.73087431,-2.319505015,0.002295675,-2.317827165,0.004810307,2.594412679
2012,201202,0.73087431,-2.319505015,0.002295675,-2.317827165,0.004810307,2.594412679
2013,201301,2.757264986,-2.319505015,0.002295675,-2.313175231,0.00486211,2.594412679
2014,201401,4.293609234,-2.319505015,0.002295675,-2.309648284,0.004901756,2.594412679
2015,201501,4.698644231,-2.319505015,0.002295675,-2.308718455,0.004912262,2.594412679
2016,201601,5.385835148,-2.319505015,0.002295675,-2.307140888,0.004930138,2.594412679
2017,201701,2.895387441,-2.319505015,0.002295675,-2.312858146,0.004865661,2.594412679
2017,201702,2.895387441,-2.319505015,0.002295675,-2.312858146,0.004865661,2.594412679
2018,201801,4.616547842,-2.319505015,0.002295675,-2.308906922,0.004910131,2.594412679
2019,201901,5.064413568,-2.319505015,0.002295675,-2.307878767,0.004921769,2.594412679
2021,202101,4.043522372,-2.319505015,0.002295675,-2.310222402,0.004895281,2.594412679
2021,202102,4.043522372,-2.319505015,0.002295675,-2.310222402,0.004895281,2.594412679
2022,202201,3.563780788,-2.319505015,0.002295675,-2.311323733,0.004882882,2.594412679
2023,202301,3.288313099,-2.319505015,0.002295675,-2.311956117,0.004875778,2.594412679
